train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
0.03386393561959267,2776,505,0.8137322664260864,280600,1403000,0.0003319317474961281,-172.0,1.0,nan,-1.7952278852462769,0.0007,280599
-0.028362715616822243,2777,505,0.8098577260971069,280700,1403500,0.0003671818121802062,-172.0,1.0,nan,-1.785352349281311,0.0007,280699
-0.034458715468645096,2778,505,0.8176723718643188,280800,1404000,0.0005280682817101479,-172.0,1.0,nan,-1.805950403213501,0.0007,280799
-0.053424861282110214,2779,505,0.8138880729675293,280900,1404500,0.0010792652610689402,-172.0,1.0,nan,-1.8011432886123657,0.0007,280899
0.008044490590691566,2780,505,0.807119607925415,281000,1405000,1.5021301805973053e-05,-172.0,1.0,nan,-1.7787761688232422,0.0007,280999
-0.05183339864015579,2781,505,0.8014023303985596,281100,1405500,0.0005407668650150299,-172.0,1.0,nan,-1.7577905654907227,0.0007,281099
-0.05419979616999626,2782,505,0.799546480178833,281200,1406000,0.0013088904088363051,-172.0,1.0,nan,-1.759965181350708,0.0007,281199
-0.04417246952652931,2783,505,0.80287104845047,281300,1406500,0.000707350904121995,-172.0,1.0,nan,-1.7651968002319336,0.0007,281299
-0.05712662264704704,2784,505,0.7938596606254578,281400,1407000,0.0006338814273476601,-172.0,1.0,nan,-1.755885124206543,0.0007,281399
0.015199664048850536,2785,505,0.7929916381835938,281500,1407500,8.973125659395009e-05,-172.0,1.0,nan,-1.750191330909729,0.0007,281499
-0.052405524998903275,2786,505,0.7937340140342712,281600,1408000,0.0010395350400358438,-172.0,1.0,nan,-1.755265474319458,0.0007,281599
-0.0321156270802021,2787,505,0.7920852899551392,281700,1408500,0.00029846024699509144,-172.0,1.0,nan,-1.7497711181640625,0.0007,281699
0.08503731340169907,2788,505,0.7981880307197571,281800,1409000,0.001488676993176341,-172.0,1.0,nan,-1.7726566791534424,0.0007,281799
-0.039409056305885315,2789,505,0.7974061369895935,281900,1409500,0.0003597347531467676,-172.0,1.0,nan,-1.7747576236724854,0.0007,281899
-0.04364873841404915,2790,505,0.8035290241241455,282000,1410000,0.00046815816313028336,-172.0,1.0,nan,-1.7907148599624634,0.0007,281999
-0.028939256444573402,2791,505,0.8014128804206848,282100,1410500,0.000610588351264596,-172.0,1.0,nan,-1.7862709760665894,0.0007,282099
-0.0395771861076355,2792,505,0.8056792616844177,282200,1411000,0.0004983434919267893,-172.0,1.0,nan,-1.7984364032745361,0.0007,282199
0.007629677187651396,2793,505,0.8053776621818542,282300,1411500,2.3961254555615596e-05,-172.0,1.0,nan,-1.8017066717147827,0.0007,282299
0.003927425015717745,2794,505,0.8032164573669434,282400,1412000,8.316943421959877e-06,-172.0,1.0,nan,-1.8044885396957397,0.0007,282399
0.026425300166010857,2795,505,0.8009219169616699,282500,1412500,0.00011278688907623291,-172.0,1.0,nan,-1.8034489154815674,0.0007,282499
-0.0014211056986823678,2796,505,0.8000626564025879,282600,1413000,1.1736992746591568e-06,-172.0,1.0,nan,-1.8053312301635742,0.0007,282599
-0.03049539588391781,2797,505,0.8036900758743286,282700,1413500,0.0002601298037916422,-172.0,1.0,nan,-1.8119887113571167,0.0007,282699
0.012126676738262177,2798,505,0.8106697797775269,282800,1414000,5.4767588153481483e-05,-172.0,1.0,nan,-1.826345443725586,0.0007,282799
-0.034660499542951584,2799,505,0.8184091448783875,282900,1414500,0.0005775655154138803,-172.0,1.0,nan,-1.843145728111267,0.0007,282899
0.04305896535515785,2800,505,0.8155969381332397,283000,1415000,0.0008003124967217445,-172.0,1.0,nan,-1.8421955108642578,0.0007,282999
-0.07539975643157959,2801,505,0.8158289790153503,283100,1415500,0.001505680731497705,-172.0,1.0,nan,-1.8319977521896362,0.0007,283099
0.018274549394845963,2802,505,0.8074193596839905,283200,1416000,0.00015125516802072525,-172.0,1.0,nan,-1.8218907117843628,0.0007,283199
0.0031117182224988937,2803,505,0.8091815710067749,283300,1416500,4.306435585021973e-06,-172.0,1.0,nan,-1.8341648578643799,0.0007,283299
-0.006094229873269796,2804,505,0.81050705909729,283400,1417000,1.2531876564025879e-05,-172.0,1.0,nan,-1.8506687879562378,0.0007,283399
